,URL,Total Pull Requests,Age,Additions,Deletions,Body,Reviews,Files,Participants,Comments
0,https://github.com/todogroup/ospolandscape,105,24854,5,0,1256,0,1,2,0
1,https://github.com/zero-to-mastery/Canvaz,275,83006,37,2,43,0,5,2,1
2,https://github.com/cdfoundation/cdf-landscape,168,5045,18,0,1257,1,2,2,3
3,https://github.com/go-gitea/gitea,10358,39914,138,34,556,24,5,9,10
4,https://github.com/questdb/questdb.io,712,13346,13,1,16,1,4,2,0
5,https://github.com/zero-to-mastery/Canvas-Creations,249,5838,42,0,0,0,5,2,3
6,https://github.com/peaceiris/mkdocs-material-boilerplate,272,22342,14,14,7943,0,3,1,1
7,https://github.com/todogroup/ospolandscape,105,24854,5,0,1256,0,1,2,0
8,https://github.com/zero-to-mastery/Canvaz,275,83006,37,2,43,0,5,2,1
9,https://github.com/cdfoundation/cdf-landscape,168,5045,18,0,1257,1,2,2,3
10,https://github.com/go-gitea/gitea,10358,39914,138,34,556,24,5,9,10
11,https://github.com/questdb/questdb.io,712,13346,13,1,16,1,4,2,0
12,https://github.com/zero-to-mastery/Canvas-Creations,249,5838,42,0,0,0,5,2,3
13,https://github.com/peaceiris/mkdocs-material-boilerplate,272,22342,14,14,7943,0,3,1,1
14,https://github.com/todogroup/ospolandscape,105,24854,5,0,1256,0,1,2,0
15,https://github.com/zero-to-mastery/Canvaz,275,83006,37,2,43,0,5,2,1
16,https://github.com/cdfoundation/cdf-landscape,168,5045,18,0,1257,1,2,2,3
17,https://github.com/go-gitea/gitea,10358,39914,138,34,556,24,5,9,10
18,https://github.com/questdb/questdb.io,712,13346,13,1,16,1,4,2,0
19,https://github.com/zero-to-mastery/Canvas-Creations,249,5838,42,0,0,0,5,2,3
20,https://github.com/peaceiris/mkdocs-material-boilerplate,272,22342,14,14,7943,0,3,1,1
21,https://github.com/todogroup/ospolandscape,105,24854,5,0,1256,0,1,2,0
22,https://github.com/zero-to-mastery/Canvaz,275,83006,37,2,43,0,5,2,1
23,https://github.com/cdfoundation/cdf-landscape,168,5045,18,0,1257,1,2,2,3
24,https://github.com/go-gitea/gitea,10358,39914,138,34,556,24,5,9,10
25,https://github.com/questdb/questdb.io,712,13346,13,1,16,1,4,2,0
26,https://github.com/zero-to-mastery/Canvas-Creations,249,5838,42,0,0,0,5,2,3
27,https://github.com/peaceiris/mkdocs-material-boilerplate,272,22342,14,14,7943,0,3,1,1
28,https://github.com/todogroup/ospolandscape,105,24854,5,0,1256,0,1,2,0
29,https://github.com/zero-to-mastery/Canvaz,275,83006,37,2,43,0,5,2,1
30,https://github.com/cdfoundation/cdf-landscape,168,5045,18,0,1257,1,2,2,3
31,https://github.com/go-gitea/gitea,10358,39914,138,34,556,24,5,9,10
32,https://github.com/questdb/questdb.io,712,13346,13,1,16,1,4,2,0
33,https://github.com/zero-to-mastery/Canvas-Creations,249,5838,42,0,0,0,5,2,3
34,https://github.com/peaceiris/mkdocs-material-boilerplate,272,22342,14,14,7943,0,3,1,1
35,https://github.com/todogroup/ospolandscape,105,24854,5,0,1256,0,1,2,0
36,https://github.com/zero-to-mastery/Canvaz,275,83006,37,2,43,0,5,2,1
37,https://github.com/cdfoundation/cdf-landscape,168,5045,18,0,1257,1,2,2,3
38,https://github.com/go-gitea/gitea,10358,39914,138,34,556,24,5,9,10
39,https://github.com/questdb/questdb.io,712,13346,13,1,16,1,4,2,0
40,https://github.com/zero-to-mastery/Canvas-Creations,249,5838,42,0,0,0,5,2,3
41,https://github.com/peaceiris/mkdocs-material-boilerplate,272,22342,14,14,7943,0,3,1,1
42,https://github.com/todogroup/ospolandscape,105,24854,5,0,1256,0,1,2,0
43,https://github.com/zero-to-mastery/Canvaz,275,83006,37,2,43,0,5,2,1
44,https://github.com/cdfoundation/cdf-landscape,168,5045,18,0,1257,1,2,2,3
45,https://github.com/go-gitea/gitea,10358,39914,138,34,556,24,5,9,10
46,https://github.com/questdb/questdb.io,712,13346,13,1,16,1,4,2,0
47,https://github.com/zero-to-mastery/Canvas-Creations,249,5838,42,0,0,0,5,2,3
48,https://github.com/peaceiris/mkdocs-material-boilerplate,272,22342,14,14,7943,0,3,1,1
49,https://github.com/todogroup/ospolandscape,105,24854,5,0,1256,0,1,2,0
50,https://github.com/zero-to-mastery/Canvaz,275,83006,37,2,43,0,5,2,1
51,https://github.com/cdfoundation/cdf-landscape,168,5045,18,0,1257,1,2,2,3
52,https://github.com/go-gitea/gitea,10358,39914,138,34,556,24,5,9,10
53,https://github.com/questdb/questdb.io,712,13346,13,1,16,1,4,2,0
